rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20220322000590 ,11011,2021,164779,660,CFS,연결재무제표,IS,손익계산서,당기순이익,제 74 기,2021.01.01 ~ 2021.12.31,"9,616,188,000,000",제 73 기,2020.01.01 ~ 2020.12.31,"4,758,914,000,000",제 72 기,2019.01.01 ~ 2019.12.31,"2,009,078,000,000",29,KRW
20220322000590 ,11011,2021,164779,660,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 74 기,2021.01.01 ~ 2021.12.31,"9,616,188,000,000",제 73 기,2020.01.01 ~ 2020.12.31,"4,758,914,000,000",제 72 기,2019.01.01 ~ 2019.12.31,"2,009,078,000,000",61,KRW
20220322000590 ,11011,2021,164779,660,OFS,재무제표,BS,재무상태표,유동자산,제 74 기,2021.12.31 현재,"16,833,952,000,000",제 73 기,2020.12.31 현재,"13,310,241,000,000",제 72 기,2019.12.31 현재,"11,725,531,000,000",2,KRW
20220322000590 ,11011,2021,164779,660,OFS,재무제표,BS,재무상태표,비유동자산,제 74 기,2021.12.31 현재,"68,138,592,000,000",제 73 기,2020.12.31 현재,"50,760,764,000,000",제 72 기,2019.12.31 현재,"46,443,395,000,000",4,KRW
20220322000590 ,11011,2021,164779,660,OFS,재무제표,BS,재무상태표,자산총계,제 74 기,2021.12.31 현재,"84,972,544,000,000",제 73 기,2020.12.31 현재,"64,071,005,000,000",제 72 기,2019.12.31 현재,"58,168,926,000,000",6,KRW
20220322000590 ,11011,2021,164779,660,OFS,재무제표,BS,재무상태표,유동부채,제 74 기,2021.12.31 현재,"11,947,187,000,000",제 73 기,2020.12.31 현재,"7,488,366,000,000",제 72 기,2019.12.31 현재,"6,346,815,000,000",8,KRW
20220322000590 ,11011,2021,164779,660,OFS,재무제표,BS,재무상태표,비유동부채,제 74 기,2021.12.31 현재,"14,287,743,000,000",제 73 기,2020.12.31 현재,"7,008,335,000,000",제 72 기,2019.12.31 현재,"5,785,203,000,000",10,KRW
20220322000590 ,11011,2021,164779,660,OFS,재무제표,BS,재무상태표,부채총계,제 74 기,2021.12.31 현재,"26,234,930,000,000",제 73 기,2020.12.31 현재,"14,496,701,000,000",제 72 기,2019.12.31 현재,"12,132,018,000,000",12,KRW
20220322000590 ,11011,2021,164779,660,OFS,재무제표,BS,재무상태표,자본금,제 74 기,2021.12.31 현재,"3,657,652,000,000",제 73 기,2020.12.31 현재,"3,657,652,000,000",제 72 기,2019.12.31 현재,"3,657,652,000,000",15,KRW
20220322000590 ,11011,2021,164779,660,OFS,재무제표,BS,재무상태표,이익잉여금,제 74 기,2021.12.31 현재,"52,976,872,000,000",제 73 기,2020.12.31 현재,"44,221,664,000,000",제 72 기,2019.12.31 현재,"40,687,652,000,000",19,KRW
20220322000590 ,11011,2021,164779,660,OFS,재무제표,BS,재무상태표,자본총계,제 74 기,2021.12.31 현재,"58,737,614,000,000",제 73 기,2020.12.31 현재,"49,574,304,000,000",제 72 기,2019.12.31 현재,"46,036,908,000,000",22,KRW
20220322000590 ,11011,2021,164779,660,OFS,재무제표,IS,손익계산서,매출액,제 74 기,2021.01.01 ~ 2021.12.31,"41,557,337,000,000",제 73 기,2020.01.01 ~ 2020.12.31,"30,524,987,000,000",제 72 기,2019.01.01 ~ 2019.12.31,"25,320,755,000,000",24,KRW
20220322000590 ,11011,2021,164779,660,OFS,재무제표,IS,손익계산서,영업이익,제 74 기,2021.01.01 ~ 2021.12.31,"12,183,360,000,000",제 73 기,2020.01.01 ~ 2020.12.31,"4,545,877,000,000",제 72 기,2019.01.01 ~ 2019.12.31,"1,989,700,000,000",26,KRW
20220322000590 ,11011,2021,164779,660,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 74 기,2021.01.01 ~ 2021.12.31,"13,130,428,000,000",제 73 기,2020.01.01 ~ 2020.12.31,"5,650,034,000,000",제 72 기,2019.01.01 ~ 2019.12.31,"1,803,514,000,000",28,KRW
20220322000590 ,11011,2021,164779,660,OFS,재무제표,IS,손익계산서,당기순이익,제 74 기,2021.01.01 ~ 2021.12.31,"9,567,226,000,000",제 73 기,2020.01.01 ~ 2020.12.31,"4,217,841,000,000",제 72 기,2019.01.01 ~ 2019.12.31,"1,476,981,000,000",30,KRW
20220322000590 ,11011,2021,164779,660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 74 기,2021.01.01 ~ 2021.12.31,"9,567,226,000,000",제 73 기,2020.01.01 ~ 2020.12.31,"4,217,841,000,000",제 72 기,2019.01.01 ~ 2019.12.31,"1,476,981,000,000",62,KRW
